"CantidadReclamada";"TipoSubasta";"Procedimiento";"principalReclamado";"importeSubasta";"importeTasacion";"Estado";"Inmuebles";"Muebles";"Vehiculos";"Acreedores";"Representantes"
614562;"BB";"BB";479600;614562;0;"BB";1;0;0;"BB";
129600;"BB";"BB";63323;129600;0;"BB";1;0;0;"BB";
27384;"BB";"BB";8702;27384;194122;"BB";1;0;0;"BB";
192531;"BB";"BB";147736;192531;192531;"BB";1;0;0;"BB";
