"CantidadReclamada";"TipoSubasta";"Procedimiento";"principalReclamado";"importeSubasta";"importeTasacion";"Estado";"Inmuebles";"Muebles";"Vehiculos";"Acreedores";"Representantes"
614562;"CC";"CC";479600;614562;0;"CC";1;0;0;"CC";
129600;"CC";"CC";63323;129600;0;"CC";1;0;0;"CC";
27384;"CC";"CC";8702;27384;194122;"CC";1;0;0;"CC";
192531;"CC";"CC";147736;192531;192531;"CC";1;0;0;"CC";
